state,ship to county,ship to city,latitude,longitude,ship to number,ship to name,parent,nickname,nh3,uan,urea,an,truck,rail,unit train,rail line,barge,nh3storage,uanstorage,ureastorage,anstorage,nh32015,nh32016,nh32017,uan2015,uan2016,uan2017,urea2015,urea2016,urea2017,an2015,an2016,an2017
OH,HAMILTON,CINCINNATI,39.1620036,-84.4568863,201891,KINDER MORGAN QUEEN CITY TERMINALS,0,,no,yes,no,no,no,no,no,n/a,yes,0,6500,0,0,0,0,0,"3,354.06","5,000.00",0,0,0,0,0,0,0
NC,NEW HANOVER,WILMINGTON,34.2257256,-77.9447102,201893,KINDER MORGAN TERMINALS INC,0,,no,yes,no,no,no,no,no,n/a,no,0,35800,0,0,0,0,0,"15,893.06","7,000.00","27,571.35",0,0,0,0,0,0
MT,LIBERTY,JOPLIN,48.5608235,-110.7724612,201896,KING AG,100237,,no,no,yes,no,yes,no,no,n/a,no,0,0,200,0,0,0,0,0,0,0,117.28,0,0,0,0,0
KS,ROOKS,STOCKTON,39.4380656,-99.2650967,201898,KISER AG SERVICE LLC,0,,no,yes,no,no,yes,no,no,n/a,no,0,300,0,0,0,0,0,230.4,182.28,52.01,0,0,0,0,0,0
KS,PHILLIPS,LOGAN,39.6616746,-99.5703854,201899,KISER AG SERVICE LLC,0,,no,yes,yes,no,yes,no,no,n/a,no,0,100,100,0,0,0,0,45.58,0,0,53.05,106.13,0,0,0,0
MN,BENTON,RICE,45.7519099,-94.2202723,201901,KLAPHAKE FERTILIZER,100140,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,"1,599.27","1,426.64","1,338.49",0,0,0,0,0,0,0,0,0
IL,CLARK,CASEY,39.2992037,-87.9925339,201905,KLINE DOUG CROP SERVICE INC,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,39.15,0,100.68,0,0,0,0,0,0,0,0,0
MN,CHISAGO,NORTH BRANCH,45.5113515,-92.9802176,201906,KLM FARMS,100163,,no,no,yes,no,yes,no,no,n/a,no,0,0,100,0,0,0,0,0,0,0,0,78,0,0,0,0
AB,CANADA,DRUMHELLER,51.4333,-112.667,201907,KNEEHILL SOIL SERVICE,101288,,no,no,yes,no,yes,no,no,n/a,no,0,0,8500,0,81.51,216.54,215.64,0,0,0,"6,554.15","5,087.28","3,919.70",0,0,0
AB,CANADA,LINDEN,51.59181312,-113.4852486,201909,KNEEHILL SOIL SERVICES LTD,101288,,no,no,yes,no,yes,no,no,n/a,no,0,0,9200,0,"1,065.17",896.78,299.17,0,0,0,"7,091.51","5,986.23","1,994.48",0,0,0
IN,DAVIESS,MONTGOMERY,38.6625493,-87.0461181,201911,KNEPP FARMS,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,0,0,21.81,21.56,0,0,0,0,0,0
AZ,YUMA,YUMA,32.7253249,-114.624397,201912,KNEPPER,unmatched,,no,yes,no,no,no,yes,no,UP,no,0,1800,0,0,0,0,0,0,"1,366.33",0,0,0,0,0,0,0
NE,HAMILTON,AURORA,40.8672344,-98.0042212,201917,KOCH FERTILIZER LLC AURORA NE,unmatched,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,462.43,0,0,0,0,0,0,0,0,0,0
LA,SAINT CHARLES,HAHNVILLE,29.9765931,-90.4089708,201919,KOCH INDUSTRIES INC,100141,,no,no,no,no,no,no,no,n/a,no,0,0,0,0,"10,509.25","20,103.76",0,0,0,0,0,0,0,0,0,0
IL,MARSHALL,HENRY,41.1114249,-89.3564776,201921,KOCH NITROGEN COMPANY,0,,no,yes,no,no,no,no,no,n/a,yes,0,15500,0,0,0,0,0,0,"11,906.52",0,0,0,0,0,0,0
IA,WOODBURY,SERGEANT BLUFF,42.4038823,-96.3586397,201923,KOCH NITROGEN COMPANY,0,,no,yes,no,no,yes,no,no,n/a,no,0,17500,0,0,0,"3,139.01","3,157.22","7,877.36","13,474.88","1,788.41",0,0,0,0,0,0
MN,SWIFT,DE GRAFF,45.2632935,-95.4678064,201924,KOCH NITROGEN LLC,unmatched,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,"1,668.36",0,0,0,0,0,0,0,0,0
IA,CARROLL,ARCADIA,42.0872073,-95.0461023,201929,KOHORST FARMS,0,,no,yes,no,no,yes,no,no,n/a,no,0,400,0,0,18.72,0,0,295.98,0,0,0,0,0,0,0,0
IN,CLINTON,ROSSVILLE,40.4169804,-86.5947239,201933,KOVA AG PRODUCTS INC,100145,,yes,no,no,no,yes,no,no,n/a,no,66,0,0,0,75.27,0,190.16,0,0,0,0,0,0,0,0,0
IN,FULTON,KEWANNA,41.0186527,-86.413337,201934,KOVA AG PRODUCTS INC,100145,,yes,no,no,no,yes,no,no,n/a,no,53,0,0,0,0,0,57.29,0,0,0,0,0,0,0,0,0
IN,WABASH,URBANA,40.8983773,-85.7927634,201935,KOVA AG PRODUCTS INC,100145,,yes,yes,no,no,yes,yes,no,NS,no,53.04,900,0,0,0,406.79,134.29,688.03,0,0,0,0,0,0,0,0
IN,MARSHALL,BOURBON,41.2956002,-86.1163889,201936,KOVA AG PRODUCTS INC,100145,,yes,yes,no,no,yes,yes,no,CFE,no,53,400,0,0,0,18.32,0,293.58,0,0,0,0,0,0,0,0
IN,WHITE,BURNETTSVILLE,40.7611507,-86.5936179,201937,KOVA AG PRODUCTS INC,100145,,yes,yes,no,no,yes,yes,no,TPW,no,26.5,800,0,0,60.11,18.94,331.94,583.3,0,0,0,0,0,0,0,0
IN,KOSCIUSKO,MILFORD,39.3503278,-85.6180312,201938,KOVA AG PRODUCTS INC,100145,,yes,yes,no,no,yes,yes,no,NS,no,40,800,0,0,0,20.07,0,581.5,0,198.7,0,0,0,0,0,0
IN,LA PORTE,LA CROSSE,41.3175401,-86.891411,201939,KOVA AG PRODUCTS INC,100145,,no,yes,no,no,yes,yes,no,CKIN,no,0,400,0,0,18.84,18.24,19.51,295.88,0,0,0,0,0,0,0,0
IN,DECATUR,WESTPORT,39.1758853,-85.5730273,201940,KOVA FERTILIZER INC,100146,,yes,no,no,no,yes,no,no,n/a,no,65,0,0,0,115.86,180.44,0,0,0,0,0,0,0,0,0,0
IL,MARSHALL,CAMP GROVE,41.0789258,-89.6331524,201943,KRAFT FERTILIZER,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,79.25,0,58.9,0,0,0,0,0,0,0,0,0
IL,PEORIA,DUNLAP,40.8617037,-89.6787105,201944,KRAFT FERTILIZER INC,100804,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,221.66,0,39.01,0,0,0,0,0,0,0,0,0
IA,WORTH,NORTHWOOD,43.4441245,-93.2210371,201950,KRISTOFFER M RUGLAND,100446,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,457.89,323.12,200.28,0,0,0,0,0,0,0,0,0
NE,DODGE,NORTH BEND,41.4619485,-96.7797515,201959,KRUGER FEED & SEED,100101,,no,yes,no,no,yes,no,no,n/a,no,0,600,0,0,947.93,626.51,277.5,442.44,0,458.13,0,0,0,0,0,0
NE,SAUNDERS,WAHOO,41.2113915,-96.6203025,201960,KRUMEL GRAIN & STORAGE,0,,no,yes,no,no,yes,no,no,n/a,no,0,100,0,0,202.6,0,0,87.96,87.32,44.67,0,0,0,0,0,0
KS,GRANT,ULYSSES,37.5814095,-101.3551696,201962,KUGLER OIL CO,100828,,yes,yes,no,no,yes,no,no,n/a,no,140,3700,0,0,0,0,0,0,0,"2,862.07",0,26.57,0,0,0,0
CO,KIT CARSON,BURLINGTON,39.3061082,-102.2693563,201963,KUGLER OIL CO,100828,,yes,yes,no,no,yes,no,no,n/a,no,375,6100,0,0,19.51,39.14,0,587.65,"4,678.85",489.6,0,0,0,0,0,0
CO,LOGAN,STERLING,40.6255415,-103.207709,201964,KUGLER OIL CO,100828,,yes,yes,no,no,yes,no,no,n/a,no,335,5200,0,0,0,0,120.14,"3,390.99","3,982.05","2,816.12",0,0,0,0,0,0
NE,HITCHCOCK,CULBERTSON,40.2297222,-100.838491,201965,KUGLER OIL COMPANY,100828,,yes,yes,yes,no,yes,yes,no,TERR,no,310,25000,700,0,141.83,"1,089.22",219.69,"19,248.20","9,629.40","14,194.20",0,106.14,556.56,0,0,0
MN,WINONA,WINONA,44.049963,-91.6393152,201969,KUJAC DOCK CD CORP,0,,no,no,yes,no,no,no,no,n/a,yes,0,0,1900,0,0,0,0,0,0,0,0,"1,483.19",0,0,0,0
OH,WILLIAMS,ALVORDTON,41.6658839,-84.436893,201971,KUNKLE FARM LIMITED,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,58.66,0,0,0,0,0,0,0,0,0
IN,KNOX,VINCENNES,38.6772691,-87.5286325,201975,L & R RUSCH FARMS,0,,no,yes,no,no,yes,no,no,n/a,no,0,100,0,0,94.96,57.36,0,0,0,74.74,0,0,0,0,0,0
AB,CANADA,CONSORT,52.01682552,-110.7683571,201976,CONSORT AGRO,0,,no,no,yes,no,yes,no,no,n/a,no,0,0,3200,0,0,0,0,0,0,0,"2,430.46","1,605.43","1,602.59",0,0,0
SD,GRANT,LA BOLT,45.0507982,-96.6767275,201979,LA BOLT FARMERS GRAIN CO,0,,no,yes,yes,no,yes,no,no,n/a,no,0,1000,1800,0,0,0,0,0,756.29,0,"1,364.82",958.24,242.49,0,0,0
IL,LA SALLE,LELAND,41.6125306,-88.7995237,201984,GRAINCO FS INC,100053,,no,yes,no,no,yes,no,no,n/a,no,0,100,0,0,"1,323.78",868.75,113.96,0,0,50.11,0,0,0,0,0,0
MN,LAC QUI PARLE,DAWSON,44.9327384,-96.0544809,201985,LAC QUI PARLE COOP OIL CO,0,,yes,no,yes,no,yes,no,no,n/a,no,320,0,1900,0,908.23,0,0,22.26,0,0,"1,473.39",975.41,208.14,0,0,0
IN,TIPPECANOE,LAFAYETTE,40.4167022,-86.8752869,201990,LAFAYETTE TERMINAL COMPANY INC,100101,,no,yes,no,no,no,yes,no,CSXT,no,0,1300,0,0,0,0,0,983.03,0,0,0,0,0,0,0,0
SD,CHARLES MIX,LAKE ANDES,43.1563822,-98.5414703,201995,LAKE ANDES FARMERS COOP INC,100237,,no,no,yes,no,yes,no,no,n/a,no,0,0,500,0,0,0,0,0,0,0,220.4,0,417.15,0,0,0
IA,ADAIR,FONTANELLE,41.2897097,-94.561636,201999,21ST CENTURY COOP,100292,,yes,no,no,no,yes,no,no,n/a,no,181.89,0,0,0,564.98,729.42,473.86,24.06,0,0,0,0,0,0,0,0
IA,CASS,CUMBERLAND,41.2741551,-94.8702606,202000,21ST CENTURY COOP,100292,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,"1,784.02","1,379.20","2,224.62",0,0,0,0,0,0,0,0,0
IA,ADAIR,GREENFIELD,41.3052657,-94.4613543,202002,21ST CENTURY COOP,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,260.39,125.21,117.75,0,0,0,0,0,0,0,0,0
TX,CROSBY,LORENZO,33.6706408,-101.5351611,202004,2K AGRI SERVICES INC,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,0,0,0,0,0,0,25.37,0,0,0
LA,IBERIA,NEW IBERIA,30.0035365,-91.8187285,202005,3 D FERTILIZER INC,0,,no,yes,no,no,yes,no,no,n/a,no,0,11100,0,0,0,0,0,"4,341.23","8,573.86",498.91,0,0,0,0,0,0
KS,MITCHELL,CAWKER CITY,39.5125104,-98.4336717,202008,SHELDON REMUS,0,,no,yes,yes,no,yes,no,no,n/a,no,0,200,600,0,0,0,0,103.47,0,154.2,469.21,78.07,0,0,0,0
TX,GREGG,LONGVIEW,32.5007038,-94.7404891,202011,A & M FARM SUPPLY,0,,no,no,yes,yes,yes,no,no,n/a,no,0,0,200,800,0,0,0,0,0,0,47.53,137.74,23.54,572.54,218.61,614.16
MN,ANOKA,BETHEL,45.4038532,-93.2677285,202014,A & B FARMS,unmatched,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,0,0,0,22.86,0,0,0,0,0,0
IA,HOWARD,LIME SPRINGS,43.4488554,-92.2807251,202016,A & K FEED & GRAIN CO INC,0,,no,yes,no,no,yes,no,no,n/a,no,0,200,0,0,248.5,293.99,95.11,0,0,143.43,0,0,0,0,0,0
KS,DICKINSON,ABILENE,38.9172216,-97.2139094,202021,A D M MILLING CO,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,0,0,0,0,0,26.17,0,0,0,0
OK,DEWEY,TALOGA,36.0386532,-98.9637073,202027,A T & L RAILROAD CO,0,,no,yes,no,no,yes,no,no,n/a,no,0,100,0,0,0,0,0,0,80.25,0,0,0,0,0,0,0
AR,MADISON,HINDSVILLE,36.1442426,-93.8621399,202028,A T SMITH,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,0,0,0,0,25.82,24.57,0,0,0,0
OK,HUGHES,HOLDENVILLE,35.0803617,-96.3991765,202029,A-1 FEED SUPPLY,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,0,0,0,0,25.5,27.11,25.75,0,0,0
IL,TAZEWELL,WASHINGTON,40.7036482,-89.4073123,202030,AARON VERCLER,100191,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,0,0,25.34,0,0,0,0,0,0,0
ND,BOTTINEAU,LANSFORD,48.628909,-101.3757158,202035,ABERNATHY SALES,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,930.7,"1,280.42",751.8,0,0,0,0,0,0,0,0,0
IA,MITCHELL,ST ANSGAR,43.3783006,-92.9188065,202037,ABSOLUTE ENERGY LLC,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,139.86,80.81,19.37,0,0,0,0,0,0,0,0,0
MO,SALINE,MARSHALL,39.1230777,-93.1968704,202041,ACME SUPPLY CO,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,"1,422.80",318.58,158.58,0,0,0,0,0,0,0,0,0
OK,PITTSBURG,MCALESTER,34.9334298,-95.7697131,202045,ADAM TRUE VALUE & AG SUPPLY,0,,no,no,yes,no,yes,no,no,n/a,no,0,0,100,0,0,0,0,0,26,0,49.06,0,0,0,0,0
WI,SHEBOYGAN,ADELL,43.6191633,-87.9520364,202048,ADELL COOPERATIVE UNION INC,0,,yes,yes,no,no,yes,yes,no,WSOR,no,2.2,400,0,0,0,0,0,195.9,0,329.2,0,0,0,0,0,0
KS,CLOUD,CONCORDIA,39.5708354,-97.6625396,202054,ADM,100163,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,0,0,0,0,28.83,0,0,0,0,0
MN,HENNEPIN,MINNEAPOLIS,44.9799654,-93.2638361,202056,ARCHER DANIELS MIDLAND CO,100163,,no,yes,no,no,yes,no,no,n/a,no,0,100,0,0,0,0,0,0,0,100.11,0,0,0,0,0,0
ND,BARNES,ROGERS,47.0727638,-98.1995384,202058,ADM BENSON QUINN,100163,,no,no,yes,no,yes,no,no,n/a,no,0,0,900,0,0,0,0,0,0,0,730.75,185.12,26.26,0,0,0
KS,RENO,HUTCHINSON,38.0608445,-97.9297743,202060,ADM GRAIN,0,,no,no,yes,no,yes,no,no,n/a,no,0,0,1200,0,0,0,0,0,0,0,906.8,211.64,186.67,0,0,0
IN,VANDERBURGH,EVANSVILLE,37.9747644,-87.5558482,202061,ADM RIVER TERMINAL,0,,no,yes,yes,no,yes,no,no,n/a,yes,0,100,4100,0,0,0,0,0,43.47,0,"3,137.35",0,0,0,0,0
LA,SAINT JAMES,PAULINA,30.0263132,-90.7131467,202062,ADM ST ELMO TERMINAL,100070,,no,yes,no,no,yes,no,no,n/a,no,0,2000,0,0,0,0,0,0,"1,307.52","1,541.03",0,0,0,0,0,0
IA,UNION,CRESTON,41.0586002,-94.3613475,202066,WILBUR-ELLIS COMPANY,100470,,no,no,yes,no,yes,no,no,n/a,no,0,0,100,0,403.63,340.13,101.12,0,0,0,26.2,51.94,82.34,0,0,0
OH,PAULDING,PAYNE,41.0775492,-84.7271812,202067,SUNRISE COOPERATIVE INC,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,19.14,0,0,0,0,0,0,0,0,0,0,0
NE,HOLT,EWING,42.2577833,-98.3464655,202075,AG AGRONOMY CENTER LLC,0,,yes,yes,yes,no,yes,no,no,n/a,no,33,4100,400,0,0,0,0,"3,189.25",0,943.77,53.03,0,302.97,0,0,0
NE,ANTELOPE,OAKDALE,42.0697291,-97.9692312,202076,AG AGRONOMY CENTER LLC,0,,no,yes,yes,no,yes,no,no,n/a,no,0,6200,900,0,0,0,0,"4,803.13",0,343.06,0,0,668.12,0,0,0
KS,LABETTE,PARSONS,37.3403384,-95.2610838,202077,AG CHOICE PARSONS,100400,,no,yes,yes,no,yes,no,no,n/a,no,0,500,200,0,659.21,334.13,135.17,46.41,359.39,0,166.29,155.22,0,0,0,0
MO,PETTIS,LAMONTE,38.7741811,-93.4252099,202079,AG COOP SERVICES INC,0,,yes,no,no,no,yes,no,no,n/a,no,140,0,0,0,205.47,317.88,197.09,0,0,0,0,0,0,0,0,0
MO,COOPER,BOONVILLE,38.9736392,-92.7432418,202080,AG CO-OP SERVICES INC,0,,yes,no,no,no,yes,no,no,n/a,no,160,0,0,0,220.7,103.1,177.79,0,0,0,0,0,0,0,0,0
TN,DAVIDSON,NASHVILLE,36.1658899,-86.7844432,202082,AG DISTRIBUTORS INC ADI,100752,,no,no,yes,yes,no,no,no,n/a,yes,0,0,1900,22900,0,0,0,0,0,0,"1,496.74",0,0,"11,101.33","17,599.44",0
SD,BROOKINGS,BROOKINGS,44.3113573,-96.7983877,202087,AG FIRST FARMERS COOPERATIVE,0,,yes,yes,yes,no,yes,no,no,n/a,no,185,300,300,0,0,0,0,0,219.22,0,0,0,233.5,0,0,0
MT,SHERIDAN,PLENTYWOOD,48.7747501,-104.5624575,202088,AG GRAIN INC,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,351.2,0,0,0,0,25.9,0,0,0,0,0
MO,LINN,BROOKFIELD,39.7844687,-93.0735348,202090,AG LAND,100178,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,183.01,768.13,300.47,0,0,0,0,0,0,0,0,0
OH,TUSCARAWAS,NEWCOMERSTOWN,40.2722923,-81.6059541,202091,AG LAND CO-OP INC,100053,,no,yes,no,no,yes,no,no,n/a,no,0,100,0,0,0,0,0,22.16,52.88,40.63,0,0,0,0,0,0
OH,COSHOCTON,FRESNO,40.3325692,-81.7415163,202092,AG LAND CO-OP INC,0,,no,yes,no,no,yes,yes,no,CUOH,no,0,5400,0,0,0,0,0,962.1,0,"4,163.62",0,0,0,0,0,0
IL,TAZEWELL,SOUTH PEKIN,40.4944838,-89.6517711,202094,AG LAND FS INC,100053,,yes,yes,no,no,yes,no,no,n/a,no,160,800,0,0,452.5,260.49,277.61,206.56,620.97,62.41,0,0,0,0,0,0
IL,LOGAN,MT PULASKI,40.0108767,-89.282314,202095,AG LAND FS INC,100053,,no,yes,no,no,yes,no,no,n/a,no,0,800,0,0,"2,113.50","1,362.45",178.56,131.74,605.8,66.03,0,0,0,0,0,0
WA,LINCOLN,EDWALL,47.504602,-117.9510663,202096,AG LINK INC,101534,,yes,yes,no,no,yes,yes,no,BNSF,no,936.4,2100,0,0,"4,754.09","8,293.30","2,845.92",783.5,"1,650.53",484.9,0,0,0,0,0,0
WA,GRANT,COULEE CITY,47.6112561,-119.2922499,202097,AG LINK INC,100102,,yes,no,no,no,yes,no,no,n/a,no,73.41,0,0,0,0,0,382.38,0,0,0,0,0,0,0,0,0
WA,LINCOLN,ALMIRA,47.7109823,-118.9408459,202098,AG LINK INC,100102,,yes,no,no,no,yes,no,no,n/a,no,188.7,0,0,0,67.72,0,285.32,0,0,0,0,0,0,0,0,0
WA,LINCOLN,DAVENPORT,47.6540456,-118.149973,202099,AG LINK INC,100102,,yes,no,no,no,yes,no,no,n/a,no,17.51,0,0,0,71.39,23.65,24,0,0,0,0,0,0,0,0,0
WA,LINCOLN,REARDAN,47.6696057,-117.8777336,202100,AG LINK INC,100102,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,23.04,23.62,0,0,0,0,0,0,0,0,0
AB,CANADA,BENALTO,52.306298,-114.2752,202103,AG MASTERS LTD,101382,,no,no,yes,no,yes,no,no,n/a,no,0,0,3400,0,0,0,0,0,0,0,"2,098.35","2,628.08","1,804.94",0,0,0
IN,HANCOCK,MCCORDSVILLE,39.9080952,-85.9227592,202105,AG ONE COOP - BUCK CREEK BRANCH,100292,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,533.29,288.07,480.61,0,0,0,0,0,0,0,0,0
KS,NEMAHA,SABETHA,39.9022223,-95.8008225,202107,AG PARTNERS,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,21.81,0,0,0,0,0,26.07,0,0,0,0
NE,RICHARDSON,HUMBOLDT,40.1638893,-95.9449985,202109,AG PARTNERS COOPERATIVE INC,100804,,yes,no,no,no,yes,no,no,n/a,no,125.366,0,0,0,0,0,46.75,0,0,0,25.75,0,0,0,0,0
KS,BROWN,HIAWATHA,39.8525033,-95.5358156,202110,AG PARTNERS - HAMLIN LOCATION,0,,yes,no,no,no,yes,no,no,n/a,no,172.911,0,0,0,0,0,0,0,0,0,0,0,25.9,0,0,0
MN,GOODHUE,GOODHUE,44.4005221,-92.6238028,202111,AG PARTNERS COOP,0,,no,yes,yes,no,yes,no,no,n/a,no,0,1600,1800,0,"2,181.25","1,850.89","1,078.69",166.36,"1,244.44",0,"1,387.38",224.06,248.35,0,0,0
MN,GOODHUE,CANNON FALLS,44.5069113,-92.905484,202112,CANNON FALLS AGRI CENTER,100163,,no,yes,yes,no,yes,no,no,n/a,no,0,700,100,0,0,0,0,217.91,117.38,511.82,53.67,0,0,0,0,0
MO,ATCHISON,TARKIO,40.4402763,-95.3777586,202118,AG PARTNERS COOPERATIVE INC,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,37.6,0,19.89,0,0,0,0,0,0,0,0,0
KS,BROWN,HIAWATHA,39.8525033,-95.5358156,202119,AG PARTNERS COOPERATIVE INC,0,,yes,no,no,no,yes,no,no,n/a,no,232.0075,0,0,0,0,0,0,0,0,0,0,0,30.53,0,0,0
IA,OBRIEN,SHELDON,43.1810893,-95.8561276,202121,AG PARTNERS LLC,100165,,no,yes,no,no,yes,no,no,n/a,no,0,2600,0,0,0,0,0,"1,961.57",0,"1,000.56",0,0,0,0,0,0
IA,POCAHONTAS,FONDA,42.5813667,-94.8460957,202122,AG PARTNERS LLC,100165,,yes,no,no,no,yes,no,no,n/a,no,200.5435,0,0,0,200.16,362.89,280.67,0,0,0,0,0,0,0,0,0
IA,SIOUX,ALTON,42.9874869,-96.0105735,202123,AG PARTNERS LLC,100165,,yes,no,yes,no,yes,no,no,n/a,no,264.6705,0,200,0,120.45,178.06,139.8,0,0,0,0,0,187.69,0,0,0
IA,BUENA VISTA,ALTA,42.6735921,-95.290554,202124,AG PARTNERS LLC,100165,,yes,no,no,no,yes,no,no,n/a,no,204.0415,0,0,0,641.63,"1,069.49","1,226.15",0,0,0,0,0,0,0,0,0
IA,SIOUX,ALTON,42.9874869,-96.0105735,202125,AG PARTNERS LLC,100165,,no,no,yes,no,yes,no,no,n/a,no,0,0,200,0,120.45,178.06,139.8,0,0,0,0,0,187.69,0,0,0
IA,PLYMOUTH,MERRILL,42.7197133,-96.2486357,202127,AG PARTNERS LLC,100165,,yes,no,no,no,yes,no,no,n/a,no,93.276,0,0,0,221.5,418.34,0,0,0,0,0,0,0,0,0,0
IA,OBRIEN,CALUMET,42.9463676,-95.550007,202128,AG PARTNERS LLC,100165,,yes,yes,no,no,yes,no,no,n/a,no,246.5985,2700,0,0,645.1,522.15,325.37,"2,063.30","1,078.30",0,0,0,0,0,0,0
IA,OBRIEN,HARTLEY,43.1799725,-95.4769513,202129,AG PARTNERS LLC,100165,,yes,yes,no,no,yes,no,no,n/a,no,236.921,2800,0,0,19.4,183.86,61.23,0,"2,131.39",0,0,0,0,0,0,0
IN,WHITLEY,SOUTH WHITLEY,41.0847677,-85.6280381,202132,AG PLUS INC,100292,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,58.88,59.51,0,0,0,0,0,0,0,0,0,0
IN,ALLEN,WOODBURN,41.1253271,-84.8532963,202133,AG PLUS INC,100053,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,96.79,59.22,388.69,0,0,0,0,0,0,0,0,0
IN,WHITLEY,COLUMBIA CITY,41.1572686,-85.4883127,202134,AG PLUS INC,100292,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,450.11,492.87,"1,519.88",0,0,0,0,0,0,0,0,0
IN,WHITLEY,CHURUBUSCO,41.2306034,-85.3194208,202136,AG PLUS INC,100292,,yes,no,no,no,yes,no,no,n/a,no,77,0,0,0,19.52,39.62,679.55,0,0,0,0,0,0,0,0,0
CA,STANISLAUS,TURLOCK,37.4946568,-120.8465941,202137,AG PRODUCTION CO INC,0,,no,yes,no,no,no,yes,no,UP,no,0,6700,0,0,0,0,0,"4,311.98","5,176.10",0,0,0,0,0,0,0
TX,HOCKLEY,LEVELLAND,33.5873164,-102.37796,202138,AG PRODUCTS INC,100292,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,0,0,0,0,0,0,25.03,0,0,0
MO,LAWRENCE,PIERCE CITY,36.9458953,-94.0002099,202140,AG SERVICE CENTER OF SOUTH WEST MIS,0,,no,no,no,no,yes,no,no,n/a,no,0,0,0,0,0,0,0,0,23.75,0,0,0,0,0,0,0
KS,MARION,HILLSBORO,38.3519556,-97.2044723,202141,AG SERVICE INC,0,,no,no,yes,no,yes,no,no,n/a,no,0,0,300,0,22.26,300.82,239.85,0,0,0,193.33,54.46,0,0,0,0
IL,CARROLL,MOUNT CARROLL,42.0950233,-89.9781797,202151,AG TECH OF MT CARROLL,100025,,no,yes,no,no,yes,no,no,n/a,no,0,1100,0,0,0,0,0,0,837.97,0,0,0,0,0,0,0
KS,NORTON,NORTON,39.8338946,-99.8915113,202152,AG VALLEY COOP,0,,no,yes,no,no,yes,no,no,n/a,no,0,1200,0,0,0,0,0,0,518.13,903.13,0,0,0,0,0,0
NE,FURNAS,CAMBRIDGE,40.2819509,-100.1656922,202154,AG VALLEY COOP,0,,yes,no,yes,no,yes,no,no,n/a,no,230,0,500,0,90.96,0,0,0,0,0,0,0,356.82,0,0,0
NE,FRONTIER,MAYWOOD,40.6575085,-100.6220914,202155,AG VALLEY CO-OP,0,,no,yes,no,no,no,yes,yes,n/a,no,0,8200,0,0,0,0,0,"6,326.95",0,0,0,0,0,0,0,0
NE,LINCOLN,NORTH PLATTE,41.1238873,-100.7654232,202156,AG VALLEY CO-OP,100169,,no,yes,no,no,yes,yes,no,UP,no,0,10700,0,0,0,150.54,0,"6,048.48","8,196.93","2,701.48",0,0,0,0,0,0
NE,RED WILLOW,INDIANOLA,40.2344497,-100.4173683,202159,AG VALLEY COOPERATIVE NON STOCK,100169,,yes,yes,no,no,yes,no,no,n/a,no,370,3500,0,0,0,0,0,0,"1,130.88","2,676.05",26.01,27.84,0,0,0,0
IA,BLACK HAWK,DEWAR,42.5255424,-92.2190702,202160,AG VANTAGE FS INC,100053,,yes,no,no,no,yes,no,no,n/a,no,150,0,0,0,493.58,383.05,574.45,0,0,0,0,0,0,0,0,0
IA,FLOYD,CHARLES CITY,43.0663613,-92.6724112,202161,AG VANTAGE FS INC,100053,,no,yes,no,no,yes,no,no,n/a,no,0,100,0,0,61.79,20.98,0,0,91.11,0,0,0,0,0,0,0
IL,BUREAU,SHEFFIELD,41.3583693,-89.7373226,202162,AG VIEW FS,100053,,yes,no,no,no,yes,no,no,n/a,no,170,0,0,0,37.66,104.49,77.57,0,0,0,0,0,0,0,0,0
